2016-10-20 13:45:51,813 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: SpringMVC:SpringMVC:0.0.1-SNAPSHOT @ /Users/liamf/Desktop/YouSunkMyBattleship/SpringMVC/pom.xml.
2016-10-20 13:45:51,924 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.mybatis:mybatis-spring:jar:1.1.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-10-20 13:45:53,565 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.mybatis:mybatis-spring:jar:1.1.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-10-20 13:45:55,979 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.mybatis:mybatis-spring:jar:1.1.0 is invalid, transitive dependencies (if any) will not be available, enable debug logging for more details
2016-10-20 13:45:56,181 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-20 13:45:56,182 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liamf/Desktop/YouSunkMyBattleship/SpringMVC/src/main/resources
2016-10-20 13:45:56,187 [Worker-11] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-20 13:45:56,188 [Worker-11] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liamf/Desktop/YouSunkMyBattleship/SpringMVC/src/test/resources
2016-10-20 13:46:11,141 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-10-20 13:46:11,142 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/liamf/Desktop/YouSunkMyBattleship/SpringMVC/src/main/resources
2016-10-20 13:46:11,144 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
